i	|i|	i'	i"	coefficient
0	1	0	0	1/1
1	1	1	0	1/1
2	2	0	1	0/1
3	3	0	2	-1/24
4	3	2	1	1/12
5	4	0	3	0/1
6	4	0	4	0/1
7	4	4	1	0/1
8	5	0	5	7/5760
9	5	0	6	-7/1440
10	5	3	2	1/360
11	5	0	7	1/180
12	5	2	4	1/120
13	5	7	1	-1/720
14	6	0	8	0/1
15	6	0	9	0/1
16	6	0	10	0/1
17	6	0	11	0/1
18	6	0	12	0/1
19	6	6	2	0/1
20	6	0	13	0/1
21	6	2	7	0/1
22	6	13	1	0/1
23	7	0	14	-31/967680
24	7	0	15	31/161280
25	7	0	16	-1/4032
26	7	0	17	-13/30240
27	7	5	3	1/10080
28	7	0	18	-1/2240
29	7	0	19	1/1260
30	7	0	20	53/120960
31	7	3	6	1/2016
32	7	10	2	-1/5040
33	7	0	21	13/15120
34	7	6	4	1/10080
35	7	11	2	-1/1512
36	7	0	22	-1/5040
37	7	2	12	1/1260
38	7	2	13	-1/2016
39	7	4	7	-1/5040
40	7	22	1	1/30240
41	8	0	23	0/1
42	8	0	24	0/1
43	8	0	25	0/1
44	8	0	26	0/1
45	8	0	27	0/1
46	8	0	28	0/1
47	8	0	29	0/1
48	8	0	30	0/1
49	8	0	31	0/1
50	8	0	32	0/1
51	8	0	33	0/1
52	8	9	3	0/1
53	8	0	34	0/1
54	8	0	35	0/1
55	8	0	36	0/1
56	8	3	10	0/1
57	8	3	11	0/1
58	8	0	37	0/1
59	8	18	2	0/1
60	8	0	38	0/1
61	8	19	2	0/1
62	8	0	39	0/1
63	8	11	4	0/1
64	8	20	2	0/1
65	8	0	40	0/1
66	8	2	21	0/1
67	8	12	4	0/1
68	8	2	22	0/1
69	8	4	13	0/1
70	8	40	1	0/1
71	9	0	41	127/154828800
72	9	0	42	-127/19353600
73	9	0	43	67/4838400
74	9	0	44	157/7257600
75	9	0	45	-1/80640
76	9	0	46	53/4838400
77	9	0	47	-13/151200
78	9	0	48	-367/9676800
79	9	8	5	1/302400
80	9	0	49	-19/403200
81	9	0	50	29/604800
82	9	0	51	-43/604800
83	9	0	52	1/25200
84	9	0	53	17/403200
85	9	0	54	47/302400
86	9	0	55	23/604800
87	9	5	9	1/43200
88	9	0	56	1/37800
89	9	0	57	23/302400
90	9	16	3	-1/30240
91	9	0	58	-1/11200
92	9	0	59	1/33600
93	9	0	60	1/8960
94	9	9	6	1/67200
95	9	0	61	-17/100800
96	9	0	62	1/17280
97	9	17	3	-1/21600
98	9	0	63	-1/15120
99	9	0	64	-1/7560
100	9	0	65	-79/3628800
101	9	3	18	1/25200
102	9	3	19	-1/8400
103	9	3	20	-1/17280
104	9	10	6	-1/25200
105	9	32	2	1/50400
106	9	0	66	1/6048
107	9	0	67	-1/20160
108	9	33	2	-1/10080
109	9	0	68	-23/302400
110	9	6	11	1/60480
111	9	6	12	1/20160
112	9	34	2	1/20160
113	9	0	69	-11/120960
114	9	35	2	1/10080
115	9	11	7	1/90720
116	9	20	4	1/60480
117	9	36	2	1/21600
118	9	0	70	1/151200
119	9	2	37	1/10080
120	9	2	38	-1/7560
121	9	2	39	-1/15120
122	9	21	4	1/15120
123	9	2	40	1/43200
124	9	4	22	1/33600
125	9	7	13	1/60480
126	9	70	1	-1/1209600
127	10	0	71	0/1
128	10	0	72	0/1
129	10	0	73	0/1
130	10	0	74	0/1
131	10	0	75	0/1
132	10	0	76	0/1
133	10	0	77	0/1
134	10	0	78	0/1
135	10	0	79	0/1
136	10	0	80	0/1
137	10	0	81	0/1
138	10	0	82	0/1
139	10	0	83	0/1
140	10	0	84	0/1
141	10	0	85	0/1
142	10	0	86	0/1
143	10	0	87	0/1
144	10	0	88	0/1
145	10	0	89	0/1
146	10	0	90	0/1
147	10	0	91	0/1
148	10	0	92	0/1
149	10	0	93	0/1
150	10	15	5	0/1
151	10	0	94	0/1
152	10	0	95	0/1
153	10	0	96	0/1
154	10	0	97	0/1
155	10	0	98	0/1
156	10	0	99	0/1
157	10	0	100	0/1
158	10	5	16	0/1
159	10	5	17	0/1
160	10	27	3	0/1
161	10	0	101	0/1
162	10	0	102	0/1
163	10	0	103	0/1
164	10	0	104	0/1
165	10	0	105	0/1
166	10	0	106	0/1
167	10	28	3	0/1
168	10	0	107	0/1
169	10	0	108	0/1
170	10	0	109	0/1
171	10	9	10	0/1
172	10	0	110	0/1
173	10	29	3	0/1
174	10	0	111	0/1
175	10	0	112	0/1
176	10	0	113	0/1
177	10	17	6	0/1
178	10	0	114	0/1
179	10	0	115	0/1
180	10	30	3	0/1
181	10	0	116	0/1
182	10	0	117	0/1
183	10	0	118	0/1
184	10	3	31	0/1
185	10	3	32	0/1
186	10	3	33	0/1
187	10	3	34	0/1
188	10	3	35	0/1
189	10	3	36	0/1
190	10	10	11	0/1
191	10	0	119	0/1
192	10	58	2	0/1
193	10	0	120	0/1
194	10	18	6	0/1
195	10	59	2	0/1
196	10	0	121	0/1
197	10	0	122	0/1
198	10	60	2	0/1
199	10	0	123	0/1
200	10	6	19	0/1
201	10	6	20	0/1
202	10	61	2	0/1
203	10	6	21	0/1
204	10	34	4	0/1
205	10	62	2	0/1
206	10	0	124	0/1
207	10	11	12	0/1
208	10	63	2	0/1
209	10	0	125	0/1
210	10	64	2	0/1
211	10	20	7	0/1
212	10	36	4	0/1
213	10	65	2	0/1
214	10	0	126	0/1
215	10	2	66	0/1
216	10	2	67	0/1
217	10	2	68	0/1
218	10	2	69	0/1
219	10	21	7	0/1
220	10	38	4	0/1
221	10	2	70	0/1
222	10	4	39	0/1
223	10	4	40	0/1
224	10	7	22	0/1
225	10	126	1	0/1
226	11	0	127	-73/3503554560
227	11	0	128	73/350355456
228	11	0	129	-2389/3832012800
229	11	0	130	-577/638668800
230	11	0	131	577/638668800
231	11	0	132	1/15769600
232	11	0	133	151/26611200
233	11	0	134	5689/2554675200
234	11	0	135	-19/34214400
235	11	0	136	547/212889600
236	11	0	137	-107/21288960
237	11	0	138	223/63866880
238	11	0	139	-37/6652800
239	11	0	140	-1289/212889600
240	11	0	141	-2491/159667200
241	11	0	142	-1097/319334400
242	11	14	8	1/9580032
243	11	0	143	-17/5322240
244	11	0	144	-1/415800
245	11	0	145	-7/760320
246	11	0	146	131/13305600
247	11	0	147	113/13305600
248	11	0	148	109/26611200
249	11	0	149	-1249/127733760
250	11	0	150	1/554400
251	11	0	151	1/1182720
252	11	0	152	953/26611200
253	11	0	153	-593/319334400
254	11	0	154	23/1900800
255	11	0	155	79/3991680
256	11	0	156	7/285120
257	11	0	157	439/127733760
258	11	8	15	1/1064448
259	11	0	158	37/13305600
260	11	0	159	101/19958400
261	11	0	160	-31/13305600
262	11	0	161	-1/443520
263	11	0	162	221/6652800
264	11	0	163	53/3548160
265	11	25	5	-23/13305600
266	11	0	164	1/158400
267	11	0	165	-29/2661120
268	11	0	166	-827/39916800
269	11	0	167	-1/6652800
270	11	0	168	41/3801600
271	11	0	169	41/1900800
272	11	0	170	13/985600
273	11	15	9	13/13305600
274	11	0	171	-41/6652800
275	11	0	172	13/3801600
276	11	0	173	-103/3326400
277	11	0	174	-439/26611200
278	11	0	175	-1151/26611200
279	11	0	176	31/2128896
280	11	26	5	-1/399168
281	11	0	177	-1/665280
282	11	0	178	-719/13305600
283	11	0	179	-73/7983360
284	11	0	180	-1/83160
285	11	0	181	-1/50688
286	11	0	182	-299/13305600
287	11	0	183	-89/39916800
288	11	5	27	-1/887040
289	11	5	28	1/831600
290	11	5	29	-17/1663200
291	11	5	30	-1/228096
292	11	0	184	1/103950
293	11	0	185	-1/73920
294	11	0	186	131/9979200
295	11	49	3	-1/184800
296	11	0	187	-1/52800
297	11	0	188	-509/9979200
298	11	0	189	-31/2661120
299	11	16	9	-1/415800
300	11	16	10	1/332640
301	11	0	190	-1/69300
302	11	50	3	13/1663200
303	11	0	191	-163/13305600
304	11	0	192	13/415800
305	11	0	193	29/887040
306	11	0	194	-1/950400
307	11	0	195	13/1108800
308	11	0	196	1/73920
309	11	51	3	-73/9979200
310	11	0	197	-19/443520
311	11	0	198	-29/887040
312	11	0	199	-13/1267200
313	11	9	17	7/2851200
314	11	52	3	1/277200
315	11	9	18	1/266112
316	11	0	200	-1/221760
317	11	0	201	-31/5322240
318	11	29	6	1/3326400
319	11	0	202	37/831600
320	11	0	203	-1/443520
321	11	53	3	53/6652800
322	11	0	204	29/2661120
323	11	0	205	-1/190080
324	11	0	206	-13/760320
325	11	17	10	53/9979200
326	11	17	11	1/798336
327	11	54	3	29/1247400
328	11	0	207	5/266112
329	11	0	208	1/14784
330	11	0	209	-13/1774080
331	11	30	6	-1/887040
332	11	0	210	109/2661120
333	11	0	211	19/1995840
334	11	55	3	1/190080
335	11	0	212	37/3326400
336	11	0	213	1/89100
337	11	0	214	289/319334400
338	11	3	56	-19/3326400
339	11	3	57	-43/3326400
340	11	3	58	1/79200
341	11	3	59	1/831600
342	11	3	60	-1/66528
343	11	31	6	-1/1663200
